PFAS,tissue,toadID,day,concentration_ug_per_kg
PFOS,wholebody,22-0235,21,146.2442009
PFOS,wholebody,22-0240,21,216.1100962
PFOS,wholebody,22-0251,21,278.9892051
PFOS,wholebody,22-0203,28,971.6310845
PFOS,wholebody,22-0219,28,439.7043352
PFOS,wholebody,22-0221,28,513.8412557
PFOS,wholebody,22-0236,28,491.0643169
PFOS,wholebody,22-0241,28,173.1555653
PFOS,wholebody,22-0252,28,509.6984592
PFOS,wholebody,22-0182,35,548.1662941
PFOS,wholebody,22-0220,35,200.128225
PFOS,wholebody,22-0224,35,452.7453618
PFOS,wholebody,22-0238,35,235.3175912
PFOS,wholebody,22-0253,35,162.5434816
PFOS,wholebody,22-0255,35,338.75148
PFOS,wholebody,22-0183,42,324.7281679
PFOS,wholebody,00-0206,42,178.2949461
PFOS,wholebody,22-0222,42,391.8945599
PFOS,wholebody,22-0225,42,670.6008301
PFOS,wholebody,22-0254,42,297.1553649
PFOS,wholebody,22-0186,49,168.9518092
PFOS,wholebody,22-0205,49,377.5168388
PFOS,wholebody,22-0207,49,512.7103069
PFOS,wholebody,22-0223,49,612.3119071
PFOS,wholebody,22-0226,49,292.8432896
PFOS,wholebody,22-0244,49,281.7109818
PFOS,wholebody,22-0187,56,753.9525204
PFOS,wholebody,22-0208,56,607.7052662
PFOS,wholebody,22-0228,56,363.7539039
PFOS,wholebody,22-0229,56,301.7599202
PFOS,wholebody,22-0245,56,201.2435649
PFOS,wholebody,22-0256,56,147.1138776
PFOSA,liver,22-0180,0,0
PFOSA,liver,22-0181,0,0
PFOSA,liver,22-0196,0,0
PFOSA,liver,22-0199,0,0
PFOSA,liver,22-0201,0,0
PFOSA,liver,22-0209,0,0
PFOSA,liver,22-0210,0,0
PFOSA,liver,22-0213,0,0
PFOSA,liver,22-0230,0,0
PFOSA,liver,22-0231,0,0
PFOSA,liver,22-0246,0,0
PFOSA,liver,22-0247,0,0
PFOSA,liver,22-0237,0,0
PFOSA,liver,22-0197,7,412.89
PFOSA,liver,22-0212,7,46.55
PFOSA,liver,22-0214,7,25.38
PFOSA,liver,22-0232,7,75.78
PFOSA,liver,22-0234,7,18.75
PFOSA,liver,22-0249,7,56.41
PFOSA,liver,22-0200,14,60.61
PFOSA,liver,22-0215,14,29.84
PFOSA,liver,22-0216,14,25.35
PFOSA,liver,22-0233,14,67.86
PFOSA,liver,22-0250,14,63.79
PFOSA,liver,22-0202,21,21.67
PFOSA,liver,22-0217,21,19.6
PFOSA,liver,22-0218,21,206.87
PFOSA,liver,22-0235,21,138.22
PFOSA,liver,22-0240,21,141.01
PFOSA,liver,22-0251,21,202.69
PFOSA,liver,22-0203,28,71.63
PFOSA,liver,22-0219,28,49.4
PFOSA,liver,22-0221,28,86.01
PFOSA,liver,22-0236,28,21.28
PFOSA,liver,22-0241,28,33.27
PFOSA,liver,22-0252,28,158.77
PFOSA,liver,22-0182,35,12.73
PFOSA,liver,22-0220,35,31.62
PFOSA,liver,22-0224,35,3.98
PFOSA,liver,22-0238,35,1.28
PFOSA,liver,22-0253,35,39.72
PFOSA,liver,22-0255,35,4.33
PFOSA,liver,22-0183,42,3.85
PFOSA,liver,00-0206,42,0
PFOSA,liver,22-0222,42,3.91
PFOSA,liver,22-0225,42,0
PFOSA,liver,22-0254,42,0
PFOSA,liver,22-0186,49,0
PFOSA,liver,22-0205,49,13.94
PFOSA,liver,22-0207,49,7.31
PFOSA,liver,22-0223,49,22.93
PFOSA,liver,22-0226,49,5.36
PFOSA,liver,22-0244,49,0
PFOSA,liver,22-0187,56,51.54
PFOSA,liver,22-0208,56,0
PFOSA,liver,22-0228,56,0
PFOSA,liver,22-0229,56,9.36
PFOSA,liver,22-0245,56,0
PFOSA,liver,22-0256,56,35.17
PFOSA,wholebody,22-0180,0,0
PFOSA,wholebody,22-0181,0,0
PFOSA,wholebody,22-0196,0,0
PFOSA,wholebody,22-0199,0,0
PFOSA,wholebody,22-0201,0,0
PFOSA,wholebody,22-0209,0,0
PFOSA,wholebody,22-0210,0,0
PFOSA,wholebody,22-0213,0,0
PFOSA,wholebody,22-0230,0,0
PFOSA,wholebody,22-0231,0,0
PFOSA,wholebody,22-0246,0,0
PFOSA,wholebody,22-0247,0,0
PFOSA,wholebody,22-0237,0,0
PFOSA,wholebody,22-0197,7,11.94
PFOSA,wholebody,22-0212,7,385.1
PFOSA,wholebody,22-0214,7,166.15
PFOSA,wholebody,22-0232,7,9.08
PFOSA,wholebody,22-0234,7,6.26
PFOSA,wholebody,22-0249,7,122.02
PFOSA,wholebody,22-0200,14,24.74
PFOSA,wholebody,22-0215,14,3.18
PFOSA,wholebody,22-0216,14,22.57
PFOSA,wholebody,22-0233,14,8.47
PFOSA,wholebody,22-0250,14,7.43
PFOSA,wholebody,22-0202,21,7.57
PFOSA,wholebody,22-0217,21,2.41
PFOSA,wholebody,22-0218,21,384.98
PFOSA,wholebody,22-0235,21,40.84
PFOSA,wholebody,22-0240,21,16.31
PFOSA,wholebody,22-0251,21,71.18
PFOSA,wholebody,22-0203,28,17.29
PFOSA,wholebody,22-0219,28,20.47
PFOSA,wholebody,22-0221,28,275.6
PFOSA,wholebody,22-0236,28,9.75
PFOSA,wholebody,22-0241,28,3.79
PFOSA,wholebody,22-0252,28,46.76
PFOSA,wholebody,22-0182,35,3.71
PFOSA,wholebody,22-0220,35,4.54
PFOSA,wholebody,22-0224,35,2.09
PFOSA,wholebody,22-0238,35,0
PFOSA,wholebody,22-0253,35,8.88
PFOSA,wholebody,22-0255,35,2.86
PFOSA,wholebody,22-0183,42,1.18
PFOSA,wholebody,00-0206,42,1.28
PFOSA,wholebody,22-0222,42,0
PFOSA,wholebody,22-0225,42,0
PFOSA,wholebody,22-0254,42,0
PFOSA,wholebody,22-0186,49,0
PFOSA,wholebody,22-0205,49,4.67
PFOSA,wholebody,22-0207,49,0
PFOSA,wholebody,22-0223,49,11.3
PFOSA,wholebody,22-0226,49,0
PFOSA,wholebody,22-0244,49,0
PFOSA,wholebody,22-0187,56,34.53
PFOSA,wholebody,22-0208,56,0
PFOSA,wholebody,22-0228,56,0
PFOSA,wholebody,22-0229,56,2.48
PFOSA,wholebody,22-0245,56,0
PFOSA,wholebody,22-0256,56,14.92
8:2 FTS,liver,22-0180,0,0
8:2 FTS,liver,22-0181,0,0
8:2 FTS,liver,22-0196,0,0
8:2 FTS,liver,22-0199,0,0
8:2 FTS,liver,22-0201,0,0
8:2 FTS,liver,22-0209,0,0
8:2 FTS,liver,22-0210,0,0
8:2 FTS,liver,22-0213,0,0
8:2 FTS,liver,22-0230,0,0
8:2 FTS,liver,22-0231,0,0
8:2 FTS,liver,22-0246,0,0
8:2 FTS,liver,22-0247,0,0
8:2 FTS,liver,22-0237,0,0
8:2 FTS,liver,22-0197,7,89.42
8:2 FTS,liver,22-0212,7,78.81
8:2 FTS,liver,22-0214,7,88.8
8:2 FTS,liver,22-0232,7,52.91
8:2 FTS,liver,22-0234,7,47.8
